study_hours,attendance,assignment_marks,previous_marks,internal_marks,final_score
0.0,53,44,59,46,37
7.8,67,50,53,49,52
7.9,64,55,42,37,43
5.8,78,56,76,61,59
1.7,87,45,63,58,45
2.6,63,33,47,50,35
3.4,79,42,58,60,44
5.7,81,50,60,54,56
4.8,86,65,84,66,67
9.7,95,77,94,78,83
11.1,100,87,100,76,93
3.5,95,46,63,64,52
5.2,51,44,55,44,51
5.8,43,44,25,23,28
6.2,76,60,74,55,59
3.6,71,34,46,53,38
4.6,80,44,61,54,50
5.6,76,43,57,61,53
2.2,74,54,71,56,49
7.5,96,62,80,70,74
5.0,88,51,64,71,58
8.6,78,55,61,49,57
3.5,76,49,59,44,43
5.8,65,37,46,51,44
2.7,69,37,57,46,40
6.5,83,54,64,58,54
8.9,95,70,81,66,70
4.1,79,54,70,61,62
7.4,99,53,69,60,61
6.9,54,57,64,48,47
3.0,56,35,50,46,34
0.9,60,42,67,47,40
4.3,69,36,49,43,41
7.3,95,78,95,74,78
3.6,59,52,65,44,47
6.7,78,68,85,63,64
1.0,63,41,49,46,36
4.1,100,72,80,68,63
7.0,96,49,71,64,60
4.3,73,46,65,55,47
0.8,75,38,61,51,37
5.9,63,43,56,52,50
6.7,67,47,63,59,55
3.5,73,44,60,51,49
1.2,59,30,52,47,34
5.0,66,42,47,44,43
6.4,67,50,59,52,45
12.3,86,82,94,80,88
6.5,81,59,70,62,60
6.0,80,53,60,46,53
5.7,84,52,68,62,58
9.1,79,74,75,68,66
7.0,87,54,63,57,53
7.1,68,41,57,55,48
6.3,93,61,89,68,70
5.4,82,45,68,52,55
7.1,81,69,91,70,67
7.2,77,54,65,48,52
6.2,70,43,50,46,43
2.5,71,46,46,52,39
7.4,92,74,94,64,69
8.8,100,73,87,67,71
4.8,84,40,54,48,44
6.6,72,42,52,49,48
3.8,97,59,83,69,60
2.2,84,35,43,55,39
2.7,86,32,56,60,47
2.4,74,49,72,61,47
3.1,67,53,75,58,51
3.8,90,42,56,58,51
4.9,68,46,65,49,47
8.0,70,53,64,58,55
7.3,87,64,83,62,70
3.8,82,51,68,63,53
6.4,83,54,61,62,60
4.1,54,40,39,39,35
3.7,72,53,77,59,53
2.5,65,37,51,49,40
4.6,60,44,50,30,39
3.7,88,49,60,59,54
6.1,77,48,60,54,50
6.9,93,64,75,66,66
4.6,62,38,34,41,35
3.7,77,58,70,58,56
4.7,68,56,59,45,44
4.6,54,40,55,44,44
4.9,76,59,81,63,61
3.5,68,51,70,57,46
8.9,72,66,82,63,71
4.6,67,48,67,60,58
2.5,82,30,48,45,41
5.0,76,53,69,59,59
7.9,91,50,61,65,60
1.7,83,45,64,49,40
1.1,75,38,62,55,37
4.0,72,48,74,56,53
8.5,84,61,70,59,61
10.0,100,77,96,72,79
9.9,90,76,89,70,77
2.1,75,51,54,60,47
3.0,80,47,62,50,42
4.0,60,40,45,37,35
4.7,64,41,58,42,47
7.0,71,50,69,65,54
7.1,90,68,74,62,68
4.8,74,39,53,50,43
4.7,66,44,62,50,48
3.5,59,27,28,29,29
6.7,81,52,63,55,57
0.9,73,28,46,59,39
0.6,86,38,59,63,40
5.9,80,51,51,47,52
7.5,69,56,74,61,57
0.9,76,25,44,43,32
0.0,61,31,38,30,25
9.1,100,80,100,84,86
5.1,67,36,43,49,41
7.0,65,37,47,50,42
9.4,80,71,94,68,71
9.5,100,78,100,78,86
2.0,55,46,55,49,39
4.9,82,41,56,56,52
5.5,93,52,67,60,57
6.4,87,68,86,61,63
7.6,72,35,49,48,49
8.3,70,64,69,62,61
8.8,80,60,81,58,67
4.5,88,61,82,71,62
6.4,74,60,74,61,65
6.4,91,55,58,61,54
4.1,62,42,47,48,39
7.4,84,38,56,51,51
6.2,76,45,58,45,45
7.2,86,56,65,57,60
5.8,69,44,52,53,51
6.9,82,57,66,56,56
3.9,86,61,79,62,61
5.9,73,53,61,44,42
5.1,86,56,76,73,61
3.3,84,36,61,61,47
8.5,83,65,83,70,67
7.5,84,51,53,58,57
8.5,92,55,71,67,64
5.8,74,51,57,51,49
11.3,100,86,100,78,87
8.0,87,73,95,71,69
6.5,82,43,73,75,57
2.3,66,30,47,48,38
4.4,81,52,52,49,41
7.5,92,59,76,68,64
3.6,79,46,78,58,53
6.2,92,66,78,74,72
2.6,45,34,42,33,31
10.2,70,65,64,57,61
7.8,88,58,66,66,66
3.7,68,45,55,51,42
5.2,76,54,67,57,57
6.0,70,62,76,59,55
5.2,78,58,57,53,55
3.1,91,51,64,57,50
5.1,84,46,71,59,52
3.8,77,44,53,58,45
3.5,76,55,68,57,53
8.8,88,76,88,66,73
2.1,40,23,28,26,21
1.9,78,44,52,56,40
5.6,86,57,67,63,60
7.8,68,70,68,58,62
6.8,69,47,60,50,51
4.5,53,33,38,40,32
6.1,73,53,68,53,55
6.7,94,65,90,71,73
1.1,48,29,47,44,36
7.5,91,48,76,70,67
5.7,81,46,59,50,53
7.7,75,58,66,52,67
5.8,49,36,40,37,37
4.7,67,59,64,62,55
5.3,100,62,84,62,68
5.9,61,64,74,57,54
8.7,91,76,96,68,76
7.0,79,62,71,56,58
5.2,88,50,60,56,55
8.7,88,79,92,70,76
5.3,85,55,72,59,58
5.7,90,62,79,66,67
5.6,90,50,59,55,56
4.9,77,52,71,52,53
4.8,75,51,62,58,49
7.6,75,76,83,68,72
1.6,77,34,48,53,40
5.9,79,54,64,49,48
7.8,72,64,68,58,59
5.3,88,71,90,74,70
2.9,72,55,80,57,56
5.1,96,51,86,72,68
6.7,92,65,80,67,68
3.0,66,27,49,55,40
5.2,65,64,74,67,59
5.8,66,42,44,36,38
0.0,79,43,57,66,42
8.6,77,67,92,64,71
9.3,75,56,75,65,65
2.4,79,39,50,55,35
3.2,71,41,54,45,40
4.2,82,50,70,62,54
1.9,82,37,49,50,39
3.8,76,59,58,56,49
8.6,86,63,69,62,66
10.7,100,81,91,81,80
5.9,82,59,69,60,53
5.3,51,40,30,32,30
6.1,84,55,70,66,62
8.8,82,51,72,64,68
6.0,78,50,63,59,56
8.3,84,69,81,62,64
2.9,78,20,25,33,26
10.3,75,55,58,50,59
8.0,77,54,68,55,59
1.7,71,39,42,48,37
9.6,90,77,91,77,76
5.4,79,56,67,57,56
6.0,90,63,79,74,68
6.2,63,48,56,55,51
6.9,88,64,81,68,65
7.7,100,60,84,68,69
5.9,84,41,65,66,47
6.5,77,56,68,58,55
6.7,76,62,76,62,60
0.6,67,44,56,48,35
6.5,75,56,56,47,51
3.5,74,57,68,49,50
3.5,89,43,65,63,45
7.0,73,65,88,62,67
4.0,75,47,57,68,47
4.1,74,62,66,50,53
9.4,94,78,88,65,72
1.9,62,45,54,50,40
3.5,81,42,59,62,47
4.8,90,47,67,61,56
6.8,93,66,79,70,68
6.0,66,51,71,47,52
5.8,97,60,81,66,61
8.2,89,61,74,59,60
7.0,73,65,71,48,56
3.0,83,47,67,60,51
5.7,100,52,88,62,63
5.1,81,55,68,52,56
1.9,61,33,49,42,33
7.9,95,74,97,72,74
4.7,86,41,50,54,46
6.1,89,55,72,64,61
9.3,67,78,93,70,75
0.9,61,22,41,44,34
1.4,65,33,49,51,34
1.0,50,29,32,33,23
4.7,72,43,56,52,48
8.4,92,49,66,64,62
5.6,74,60,75,60,57
1.4,83,47,61,54,41
0.2,58,33,49,42,29
0.3,52,19,40,33,19
4.6,90,52,62,61,49
4.0,69,34,53,48,39
6.3,86,52,59,53,51
6.1,69,53,74,55,58
7.6,94,49,64,55,60
5.5,90,51,67,66,55
4.3,79,52,72,60,54
7.2,87,55,71,58,55
1.6,60,39,50,49,35
5.9,86,48,60,54,54
6.0,77,63,75,54,62
6.5,84,64,81,71,64
7.7,71,49,60,49,56
5.2,78,53,77,60,53
8.8,81,44,55,53,51
4.9,79,52,65,62,56
4.5,91,56,78,67,66
2.4,60,18,35,32,27
1.5,70,34,50,51,37
1.8,61,27,41,38,23
2.5,75,38,36,52,30
5.4,59,40,60,49,46
5.6,95,41,59,48,50
6.8,86,62,69,63,58
7.9,73,55,50,58,54
9.8,100,63,78,77,74
8.6,98,68,91,83,81
7.8,85,58,63,53,59
4.3,90,44,76,70,62
5.1,77,39,61,51,48
2.6,69,43,60,53,43
4.8,76,48,46,41,46
2.1,76,36,52,47,36
3.8,71,43,53,46,51
8.3,67,56,54,53,55
6.5,92,69,74,69,67
9.0,100,66,84,73,76
2.9,71,40,52,42,45
6.3,87,68,76,63,66
3.8,66,28,41,39,29
7.1,75,62,70,62,65
7.4,70,47,59,57,52
5.5,48,43,48,45,41
7.5,88,57,71,59,58
5.6,72,48,67,42,52
2.6,70,38,58,42,38
3.6,45,38,44,44,35
6.1,62,51,53,44,45
7.7,91,56,67,58,67
5.6,71,47,56,59,55
7.6,84,62,71,68,64
7.0,70,49,64,54,53
9.8,100,67,71,65,69
5.5,74,52,59,52,54
2.5,67,42,35,41,32
7.8,100,60,76,76,68
0.0,87,34,56,57,43
8.0,86,66,76,68,66
0.0,77,56,83,70,54
2.2,74,43,65,49,40
6.9,85,56,72,66,64
9.5,95,71,83,68,80
6.7,94,64,91,60,71
4.3,90,49,68,51,57
8.2,79,55,62,50,54
6.4,100,70,87,76,73
8.2,71,44,47,47,45
6.0,95,46,69,65,58
6.2,81,42,62,66,56
8.9,89,55,71,56,64
4.4,65,35,50,46,36
1.2,57,30,42,42,25
2.0,63,23,36,35,23
3.6,76,34,46,48,41
2.3,74,41,62,46,49
4.6,65,47,63,59,53
7.3,85,77,93,68,67
8.9,77,69,79,73,74
4.0,55,45,57,46,45
5.5,82,52,69,65,53
4.7,83,44,58,55,48
5.4,75,52,63,55,55
6.9,62,65,79,55,62
4.7,82,47,67,59,49
3.1,74,48,66,57,51
9.2,100,51,70,61,59
2.9,56,41,51,43,37
3.0,75,57,76,57,57
10.5,100,78,100,90,88
6.7,84,66,70,60,60
5.0,95,56,83,78,69
6.1,80,55,67,57,59
7.8,86,60,73,64,68
6.1,84,50,60,50,55
6.4,70,51,62,51,55
1.7,78,41,56,54,44
6.8,71,60,67,64,59
3.6,73,46,49,49,43
5.7,85,53,67,67,57
8.8,83,72,84,70,68
8.7,81,59,74,70,63
8.3,70,60,63,53,57
8.6,74,61,78,73,68
4.8,72,54,62,51,55
7.6,78,76,81,60,67
4.0,64,36,42,36,38
5.2,66,38,61,63,52
2.6,66,27,35,44,30
4.6,55,53,58,45,46
